"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2024","48.889","48.240","50.570","48.075","45.25K","2.64%"
"30/12/2024","47.633","48.935","48.935","47.060","42.14K","-0.21%"
"27/12/2024","47.731","47.000","48.020","46.650","62.52K","4.37%"
"24/12/2024","45.731","45.875","46.625","45.040","44.03K","0.41%"
"23/12/2024","45.545","43.950","45.850","43.790","60.71K","3.21%"
"20/12/2024","44.130","43.715","44.710","42.730","88.17K","2.44%"
"19/12/2024","43.078","41.500","43.745","39.790","113.49K","5.05%"
"18/12/2024","41.007","42.110","42.500","40.585","90.33K","-2.52%"
"17/12/2024","42.065","39.800","42.205","39.800","114.43K","4.44%"
"16/12/2024","40.277","40.180","40.635","38.885","109.62K","-2.28%"
"13/12/2024","41.215","42.700","43.275","40.995","107.19K","-3.71%"
"12/12/2024","42.804","44.715","44.900","42.465","106.73K","-4.23%"
"11/12/2024","44.694","45.535","46.000","44.400","75.12K","-1.88%"
"10/12/2024","45.552","44.840","45.865","44.430","71.21K","1.55%"
"09/12/2024","44.855","46.350","46.380","44.730","89.52K","-3.50%"
"06/12/2024","46.480","46.205","46.725","45.900","71.65K","-0.15%"
"05/12/2024","46.551","47.750","48.050","45.970","75.53K","-1.05%"
"04/12/2024","47.046","48.000","48.220","46.655","84.69K","-3.11%"
"03/12/2024","48.557","48.650","49.095","48.200","61.82K","-0.20%"
"02/12/2024","48.655","48.300","49.320","48.300","81.39K","1.77%"
"29/11/2024","47.811","46.750","48.000","46.195","91.11K","3.35%"
"28/11/2024","46.260","46.800","47.150","46.005","33.38K","-1.07%"
"27/11/2024","46.762","46.480","46.915","45.860","61.09K","-0.96%"
"26/11/2024","47.216","47.500","48.440","45.950","107.23K","-1.08%"
"25/11/2024","47.733","47.050","48.905","46.585","91.21K","1.52%"
"22/11/2024","47.018","48.800","49.550","46.650","112.62K","-2.66%"
"21/11/2024","48.303","46.950","48.860","46.940","91.03K","3.22%"
"20/11/2024","46.796","45.595","47.230","45.140","88.88K","2.47%"
"19/11/2024","45.668","47.000","47.400","45.460","101.75K","-2.63%"
"18/11/2024","46.900","45.350","47.150","44.800","87.47K","0.75%"
"15/11/2024","46.551","46.000","47.490","45.410","125.36K","0.71%"
"14/11/2024","46.224","45.500","46.490","44.980","106.28K","5.86%"
"13/11/2024","43.666","43.225","43.990","42.200","106.50K","-1.33%"
"12/11/2024","44.255","43.930","44.465","42.990","90.49K","1.21%"
"11/11/2024","43.728","41.630","44.110","41.205","108.69K","3.11%"
"08/11/2024","42.409","41.600","43.075","41.595","91.05K","2.74%"
"07/11/2024","41.276","40.600","41.600","40.340","79.21K","2.20%"
"06/11/2024","40.388","40.055","40.715","39.035","91.18K","-0.26%"
